device_type,os_version_key,name,typed_value
Mac,"(14, 4)",supports-gft-calls,
Mac,"(14, 4)",supports-gft-errors,
Mac,"(14, 4)",supports-gft-relay,
Mac,"(14, 4)",supports-group-photo-refresh-version,
Mac,"(14, 4)",supports-harmony,False
Mac,"(14, 4)",supports-hdr,True
Mac,"(14, 4)",supports-heif,True
Mac,"(14, 4)",supports-hi-res-vid,
Mac,"(14, 4)",supports-hk-resident,
Mac,"(14, 4)",supports-hybrid-groups-v1,
Mac,"(14, 4)",supports-ii-v1,
Mac,"(14, 4)",supports-impact-v1,
Mac,"(14, 4)",supports-incoming-fmd-v1,
Mac,"(14, 4)",supports-inline-attachments,
Mac,"(14, 4)",supports-keep-receipts,
Mac,"(14, 4)",supports-key-sharing,
Mac,"(14, 4)",supports-live-delivery,
Mac,"(14, 4)",supports-location-sharing,
Mac,"(14, 4)",supports-maps-protocol-v5,
Mac,"(14, 4)",supports-maps-routing-path-leg,
Mac,"(14, 4)",supports-maps-waypoint-route-sharing,
Mac,"(14, 4)",supports-media-v2,
Mac,"(14, 4)",supports-mirage,
Mac,"(14, 4)",supports-modern-gft,
Mac,"(14, 4)",supports-original-timestamp-v1,
Mac,"(14, 4)",supports-people-ranging-v1,
Mac,"(14, 4)",supports-people-request-messages,
Mac,"(14, 4)",supports-people-request-messages-v2,
Mac,"(14, 4)",supports-people-request-messages-v3,
Mac,"(14, 4)",supports-photos-extension-v1,
Mac,"(14, 4)",supports-photos-extension-v2,
Mac,"(14, 4)",supports-protobuf-payload-data-v2,
Mac,"(14, 4)",supports-recurring-payment-bubbles,
Mac,"(14, 4)",supports-rem,
Mac,"(14, 4)",supports-sa-v1,
Mac,"(14, 4)",supports-screen-time-v2,
Mac,"(14, 4)",supports-secure-loc-v1,
Mac,"(14, 4)",supports-self-one-to-one-invites,
Mac,"(14, 4)",supports-shared-exp,
Mac,"(14, 4)",supports-sos-alerting,
Mac,"(14, 4)",supports-st-er,
Mac,"(14, 4)",supports-st-v1,
Mac,"(14, 4)",supports-sticker-editing,
Mac,"(14, 4)",supports-update-attachments-v1,
Mac,"(14, 4)",supports-uwb,False
Mac,"(14, 4)",supports-zelkova,True
Mac,"(14, 6)",device-key-signature,
Mac,"(14, 6)",ec-version,1.0
Mac,"(14, 6)",is-c2k-equipment,False
Mac,"(14, 6)",is-green-tea,
Mac,"(14, 6)",is-web-client,
Mac,"(14, 6)",kt-version,5.0
Mac,"(14, 6)",nicknames-version,
Mac,"(14, 6)",optionally-receive-typing-indicators,
Mac,"(14, 6)",prefers-sdr,
