,device_type,name,first_os_version,first_os_version_key,last_os_version,last_os_version_key
161,VisionPro,supports-gft-errors,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
162,VisionPro,supports-gft-relay,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
163,VisionPro,supports-group-apple-cash,26.0,"(26, 0)",26.3,"(26, 3)"
164,VisionPro,supports-group-photo-refresh-version,2.0,"(2, 0)",26.3,"(26, 3)"
165,VisionPro,supports-gti,26.0,"(26, 0)",26.3,"(26, 3)"
166,VisionPro,supports-harmony,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
167,VisionPro,supports-hdr,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
168,VisionPro,supports-heif,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
169,VisionPro,supports-hi-res-vid,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
170,VisionPro,supports-high-quality-photo-file-sizes,2.0,"(2, 0)",26.3,"(26, 3)"
171,VisionPro,supports-hk-resident,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
172,VisionPro,supports-hybrid-groups-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
173,VisionPro,supports-ii-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
174,VisionPro,supports-impact-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
175,VisionPro,supports-incoming-fmd-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
176,VisionPro,supports-inline-attachments,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
177,VisionPro,supports-introductions-v1,26.0,"(26, 0)",26.3,"(26, 3)"
178,VisionPro,supports-keep-receipts,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
179,VisionPro,supports-key-sharing,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
180,VisionPro,supports-legacy-contact-invites-v1,26.0,"(26, 0)",26.3,"(26, 3)"
181,VisionPro,supports-legacy-contact-invites-v2,26.0,"(26, 0)",26.3,"(26, 3)"
182,VisionPro,supports-legacy-contact-invites-v3,26.0,"(26, 0)",26.3,"(26, 3)"
183,VisionPro,supports-live-delivery,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
184,VisionPro,supports-live-translation,26.0,"(26, 0)",26.3,"(26, 3)"
185,VisionPro,supports-location-sharing,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
186,VisionPro,supports-lqm-hq,26.0,"(26, 0)",26.3,"(26, 3)"
187,VisionPro,supports-manatee-activity-sharing,2.0,"(2, 0)",26.3,"(26, 3)"
188,VisionPro,supports-manatee-for-apple-cash,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
189,VisionPro,supports-maps-protocol-v5,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
190,VisionPro,supports-maps-routing-path-leg,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
191,VisionPro,supports-maps-waypoint-route-sharing,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
192,VisionPro,supports-maps-wgs84-elevation-model,26.0,"(26, 0)",26.3,"(26, 3)"
193,VisionPro,supports-media-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
194,VisionPro,supports-mirage,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
195,VisionPro,supports-modern-gft,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
196,VisionPro,supports-nearby-facetime,26.0,"(26, 0)",26.3,"(26, 3)"
197,VisionPro,supports-original-timestamp-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
198,VisionPro,supports-people-ranging-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
